Dataset ID,Group ID,Request ID,Threshold,MergedSelections,Unselected,Selected,Greeting,Backstory,Justification,Rant,Gratitude,Other,Express Emotion
1,1,2227,2,"[Just to set the scene... I have a fairly tall husband who likes to complain on long flights when his legs are hurting him. In the past we have been lucky in getting the seat next to the exits with the extra legroom on scheduled flights on a few occasions. I recall getting these seats when we asked politely at the check in desk. Ideally, we would love to get these seats when we travel to Bangkok (economy) - although I know there is no guarantee and after reading posts they can be allocated to passengers with 'elite' status etc I believe these seats are only assigned by the airport check in staff on the day (or at least this is what I thought I read on the Emirates website). We have selected the next best seats for us through the online booking manager system. My question is therefore this -] if we check in online, will this mean we automatically won't be able to get the seats with the extra legroom?"," if we check in online, will this mean we automatically won't be able to get the seats with the extra legroom?","Just to set the scene... I have a fairly tall husband who likes to complain on long flights when his legs are hurting him. In the past we have been lucky in getting the seat next to the exits with the extra legroom on scheduled flights on a few occasions. I recall getting these seats when we asked politely at the check in desk. Ideally, we would love to get these seats when we travel to Bangkok (economy) - although I know there is no guarantee and after reading posts they can be allocated to passengers with 'elite' status etc I believe these seats are only assigned by the airport check in staff on the day (or at least this is what I thought I read on the Emirates website). We have selected the next best seats for us through the online booking manager system. My question is therefore this -",0,1,0,0,0,1,0
1,1,2182,2,"I am flying from Luton to Dalaman (Turkey) next week with Monarch and am wondering whether or not to bother with online check-in. [We already have allocated seats, so as far as I can see the only extra thing that online check-in offers is that you don't have to have your boarding pass printed at the check-in desk. Things that are putting me off are: (1) I've noticed over the past couple of years that because now most people are checking in online, the queues for the online check-in desks are often actually longer than the queues for people who haven't checked in online (2) Last year we had a 12 hour flight delay - the original plane had a problem and the airline then split passengers into two groups and people who had NOT checked in online were flown out on a much earlier plane than those who had checked in online - goodness knows why.]",I am flying from Luton to Dalaman (Turkey) next week with Monarch and am wondering whether or not to bother with online check-in. ,"We already have allocated seats, so as far as I can see the only extra thing that online check-in offers is that you don't have to have your boarding pass printed at the check-in desk. Things that are putting me off are: (1) I've noticed over the past couple of years that because now most people are checking in online, the queues for the online check-in desks are often actually longer than the queues for people who haven't checked in online (2) Last year we had a 12 hour flight delay - the original plane had a problem and the airline then split passengers into two groups and people who had NOT checked in online were flown out on a much earlier plane than those who had checked in online - goodness knows why.",0,1,0,0,0,1,0
1,1,2191,2,"BA has won their case in the High Court attacking the balloting process. There will need to be a re-vote, which will take at least 4 weeks, so the Christmas flights are back on. It is not clear what the cabin service will be like....but there is some evidence that some union members were taken by surprise that their vote for ""industrial action"" turned into a 12 days over-Christmas strike.","BA has won their case in the High Court attacking the balloting process. There will need to be a re-vote, which will take at least 4 weeks, so the Christmas flights are back on. It is not clear what the cabin service will be like....but there is some evidence that some union members were taken by surprise that their vote for ""industrial action"" turned into a 12 days over-Christmas strike.",,0,0,0,0,0,0,0
1,1,2183,2,"[My family is flying from Hartford Ct to Honolulu in a couple weeks. We have two short stops before we make it to the west coast. The stops do not allow us enough time to grab a bite to eat. Other than buying the food for purchase on the flights,] does anyone know if we are allowed to take our own sandwiches, snacks, on board?"," does anyone know if we are allowed to take our own sandwiches, snacks, on board?","My family is flying from Hartford Ct to Honolulu in a couple weeks. We have two short stops before we make it to the west coast. The stops do not allow us enough time to grab a bite to eat. Other than buying the food for purchase on the flights,",0,1,0,0,0,0,0
1,1,2198,2,I have been advised that the best seating is in rows 46-48 which is only 2 abreast. If anyone has recently travelled using this section of the aircraft I would appreciate any comments.,I have been advised that the best seating is in rows 46-48 which is only 2 abreast. If anyone has recently travelled using this section of the aircraft I would appreciate any comments.,,0,0,0,0,0,0,0
1,1,2190,2,Need some suggestions for how to keep my 5yo son entertained on United flight from SYD-SFO. [I knew United did not have seat back TVs or a decent AVOD system so need some suggestions to keep my boy entertained. He will sleep for some of the flight as it leaves Sydney at 4pm. I was thinking of buying a portable DVD but battery life will get me 2 movies maximum. Same battery life problem if i was to get Ipod touch or even with laptop. So what other suggestions do you have for me?],Need some suggestions for how to keep my 5yo son entertained on United flight from SYD-SFO. ,I knew United did not have seat back TVs or a decent AVOD system so need some suggestions to keep my boy entertained. He will sleep for some of the flight as it leaves Sydney at 4pm. I was thinking of buying a portable DVD but battery life will get me 2 movies maximum. Same battery life problem if i was to get Ipod touch or even with laptop. So what other suggestions do you have for me?,0,1,0,0,0,1,0
1,1,1630,2,"[Hello, ]just wondering which travel insurance you guys use that really work?[ In the fall we had a two week vacation to Europe, involved four United flights. First got canceled, ergo the second one we missed. Took three other ones instead. On the trip back two flights were planned. Both got canceled even though they were confirmed about three times. Had to take another airline back, skipped last flight and took the train back instead. Had paid for the overseas flight extra for economy plus seats and of course didn't get them since the flight got canceled and we flew with another carrier. Paid $700 for travel insurance, didn't see a penny. Thanks, Undine]",just wondering which travel insurance you guys use that really work?,"Hello,  In the fall we had a two week vacation to Europe, involved four United flights. First got canceled, ergo the second one we missed. Took three other ones instead. On the trip back two flights were planned. Both got canceled even though they were confirmed about three times. Had to take another airline back, skipped last flight and took the train back instead. Had paid for the overseas flight extra for economy plus seats and of course didn't get them since the flight got canceled and we flew with another carrier. Paid $700 for travel insurance, didn't see a penny. Thanks, Undine",1,1,0,1,1,0,0
1,1,2463,2,"[Hi, Last month I booked a ticket for my wife and I to Las Vegas travelling on US Airways from Israel to LV. My passport is US, and hers is Israeli. I booked her ticket under the name shown on her Passport and Visa, we'll use Jane Doe.] Her ticket is also booked under Jane Doe. [However, shortly after booking the ticket ]she told me that she had her named in her passport to Jane Doe *my last name*. [So ]her ticket is booked under Jane Doe. Her Passport says ""Jane Doe"" Her Visa says ""Jane Doe"" But when they turn to the next page, they'll see a ""Change of Name"" sticker reflecting the legal change to ""Jane Doe + my last name"". My question is, will she still be allowed to fly and/or should we expect major problems during our trip over this?"," Her ticket is also booked under Jane Doe. she told me that she had her named in her passport to Jane Doe *my last name*. her ticket is booked under Jane Doe. Her Passport says ""Jane Doe"" Her Visa says ""Jane Doe"" But when they turn to the next page, they'll see a ""Change of Name"" sticker reflecting the legal change to ""Jane Doe + my last name"". My question is, will she still be allowed to fly and/or should we expect major problems during our trip over this?","Hi, Last month I booked a ticket for my wife and I to Las Vegas travelling on US Airways from Israel to LV. My passport is US, and hers is Israeli. I booked her ticket under the name shown on her Passport and Visa, we'll use Jane Doe.However, shortly after booking the ticket So ",0,1,0,0,0,1,0
1,1,2080,2,"So my husband recently made MM Gold with American. Totally out of the blue (but in full disclosure, he was Gold with AA for the last many years he worked, so we are no strangers to the front yard).[ But Speedbird recently linked me to an AA wikie, which linked to the Flyertalk forum, where I read about XPlats not getting upgraded on certain routes. Plus we were on a direct which was only going to be 5 stickers instead of the usual 7 for that connecting routing...so we figured we had no chance. Checking the website the night before (well within our 24 hr. window...still nothing). But ]when we got to the airport the next day and I was at the kiosk, the first thing that caught my eye was ""TWO MEALS"" - yeah baby, we've hit the big time, LOL. Yes, it was only on a direct MD-80 = but it was still cool. Loved the nuts, the free food, the chocolate chip cookies. [Won't get anymore free stickers until we fly 10,000 (which will definitely happen this year), but yeah, it was sure nice. I'm almost happy I figured we had no chance because it was such a nice surprise.]","So my husband recently made MM Gold with American. Totally out of the blue (but in full disclosure, he was Gold with AA for the last many years he worked, so we are no strangers to the front yard).when we got to the airport the next day and I was at the kiosk, the first thing that caught my eye was ""TWO MEALS"" - yeah baby, we've hit the big time, LOL. Yes, it was only on a direct MD-80 = but it was still cool. Loved the nuts, the free food, the chocolate chip cookies. "," But Speedbird recently linked me to an AA wikie, which linked to the Flyertalk forum, where I read about XPlats not getting upgraded on certain routes. Plus we were on a direct which was only going to be 5 stickers instead of the usual 7 for that connecting routing...so we figured we had no chance. Checking the website the night before (well within our 24 hr. window...still nothing). But Won't get anymore free stickers until we fly 10,000 (which will definitely happen this year), but yeah, it was sure nice. I'm almost happy I figured we had no chance because it was such a nice surprise.",0,1,0,0,0,1,0
1,1,1855,2,"[i fly with china airlines from Los angeles to taipei with connecting flight to jakarta almost 20 hours flight. it was a very dissapointed experience from my 20 years flying experience. i'm a travel addict, i will travel at least 2 times a year to all over the world, n i ve been used many airlines, from asian airlines, european, even from arabian airlines..but china airlines is the biggest dissapointment. their ground staff are mean..never smile, no cooperation at all..i've never seen someone in service business that never give a smile...even starbuck who sell a cup of coffee give a smile everytime they serve. i travel with two small childrens, i asked her nicely that, if possible can she gave me a four in a row seats so we can be seating together..she respond NO without looking or even try to look for the seats..so in the end i've to beg other passangers on the aircraft so we can be seated together and the stewardess do not bother to help me out with this. and after all my documents finished and i received my boarding passes , i said thank you to her but she didn't respond or look at me..just pretend to be busy. at the boarding gate they call for a traveller with a small children to be onboard before the rest, so like i usually do ,i came forward and show them my ticket and my children but alas they rejected me at the gate and said what they mean is children under 2 years old. what is wrong with this peoples, what is the differences between 2 years old and 4 years old children ? so that's it ! this will be my last flight with china airlines.. i call my travel agent and said to them not to offer me this airlines again, better offer me a twin otter plane from some village airlines than this so called four star airlines...they do not deserve it]",,"i fly with china airlines from Los angeles to taipei with connecting flight to jakarta almost 20 hours flight. it was a very dissapointed experience from my 20 years flying experience. i'm a travel addict, i will travel at least 2 times a year to all over the world, n i ve been used many airlines, from asian airlines, european, even from arabian airlines..but china airlines is the biggest dissapointment. their ground staff are mean..never smile, no cooperation at all..i've never seen someone in service business that never give a smile...even starbuck who sell a cup of coffee give a smile everytime they serve. i travel with two small childrens, i asked her nicely that, if possible can she gave me a four in a row seats so we can be seating together..she respond NO without looking or even try to look for the seats..so in the end i've to beg other passangers on the aircraft so we can be seated together and the stewardess do not bother to help me out with this. and after all my documents finished and i received my boarding passes , i said thank you to her but she didn't respond or look at me..just pretend to be busy. at the boarding gate they call for a traveller with a small children to be onboard before the rest, so like i usually do ,i came forward and show them my ticket and my children but alas they rejected me at the gate and said what they mean is children under 2 years old. what is wrong with this peoples, what is the differences between 2 years old and 4 years old children ? so that's it ! this will be my last flight with china airlines.. i call my travel agent and said to them not to offer me this airlines again, better offer me a twin otter plane from some village airlines than this so called four star airlines...they do not deserve it",0,1,0,1,0,0,0
